epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.24773,0.62259,1.78914,2.99578,1.00237,0.00347,1,0.05582,0.0347,0.00347,1,0.08618,0.05263,0.47883,1.20604,2.9731,1.03087,2e-05,2e-05,2e-05
2,4.10905,0.89221,2.04977,2.98501,1.12495,0.00348,1,0.12124,0.08356,0.00348,1,0.11339,0.09828,0.4233,1.16799,2.88988,0.98995,5.9406e-05,5.9406e-05,5.9406e-05
3,5.35419,0.99564,2.57002,3.08244,1.27154,0.00347,1,0.10234,0.07358,0.00347,1,0.10345,0.08042,0.40422,1.17017,2.83693,0.96996,9.802e-05,9.802e-05,9.802e-05
4,6.55475,0.82566,1.90894,2.97923,1.11048,0.0035,1,0.09086,0.07808,0.0035,1,0.09086,0.08134,0.39994,1.17131,2.79916,0.95768,0.000135842,0.000135842,0.000135842
5,7.79668,0.9069,1.86853,2.99195,1.14728,0.00335,1,0.54027,0.49305,0.00335,1,0.56577,0.50976,0.3609,0.9858,2.65447,0.93653,0.000172872,0.000172872,0.000172872
6,9.23257,0.75145,1.62686,2.84821,1.04123,0.00333,1,0.92071,0.77616,0.00333,1,0.939,0.8281,0.51484,0.92085,2.55248,0.96718,0.00020911,0.00020911,0.00020911
7,10.6809,0.68874,0.88987,2.4416,0.95911,0.00333,1,0.92833,0.75515,0.00333,1,0.92833,0.74037,0.78278,1.53163,2.53056,1.01864,0.000244556,0.000244556,0.000244556
8,12.1113,0.79654,0.92755,2.16797,1.01416,0.00333,1,0.94357,0.78975,0.00333,1,0.89543,0.77723,0.5321,1.82276,2.48363,0.93217,0.00027921,0.00027921,0.00027921
9,13.4977,0.83066,0.88617,1.96524,1.02549,0.00333,1,0.93147,0.78433,0.00292,0.875,0.87518,0.79267,0.55492,2.07474,2.48522,0.93892,0.000313072,0.000313072,0.000313072
10,14.8783,0.75667,0.72307,1.83792,0.94623,0.00333,1,0.91674,0.73679,0.00292,0.875,0.87518,0.79921,0.73666,2.04449,2.46916,1.07287,0.000346142,0.000346142,0.000346142
11,16.2674,0.7052,0.74348,1.61636,0.96436,0.00333,1,0.94885,0.74671,0.00333,1,0.89733,0.77984,0.72196,1.97686,2.45078,1.05672,0.00037842,0.00037842,0.00037842
12,17.6698,0.66124,0.57877,1.4518,0.98368,0.00333,1,0.92375,0.74331,0.00292,0.875,0.84393,0.66082,0.75308,2.69142,2.44079,1.05332,0.000409906,0.000409906,0.000409906
13,19.2275,0.74236,0.7546,1.41551,0.99964,0.00333,1,0.94357,0.76171,0.00292,0.875,0.87518,0.64304,0.60786,3.18332,2.37823,1.00994,0.0004406,0.0004406,0.0004406
14,20.6379,0.78892,0.83145,1.41607,0.98402,0.00333,1,0.87733,0.76309,0.00292,0.875,0.87518,0.57111,0.64573,2.8404,2.37169,1.03645,0.000470502,0.000470502,0.000470502
15,22.0286,0.74159,0.73488,1.2469,0.9523,0.00333,1,0.87742,0.76581,0.00292,0.875,0.87518,0.67276,0.75821,2.17851,2.40973,1.10601,0.000499612,0.000499612,0.000499612
16,23.4131,0.70578,0.74574,1.16121,0.9329,0.00333,1,0.87742,0.77271,0.00292,0.875,0.87518,0.64868,0.71623,2.4374,2.39733,1.05298,0.00052793,0.00052793,0.00052793
17,24.7977,0.68434,0.6644,1.07051,0.95784,0.00333,1,0.87755,0.77257,0.00333,1,0.87542,0.71672,0.67996,2.20664,2.50885,1.08877,0.000555456,0.000555456,0.000555456
18,26.1885,0.6694,0.65266,1.07073,0.90765,0.00333,1,0.63257,0.52204,0.00333,1,0.77337,0.65802,0.74248,2.27356,2.88967,1.17511,0.00058219,0.00058219,0.00058219
19,27.595,0.68315,0.99509,1.06685,0.95064,0.00333,1,0.26058,0.22834,0.00292,0.875,0.63437,0.52247,0.97998,2.83356,3.0433,1.33262,0.000608132,0.000608132,0.000608132
20,28.993,0.56562,0.57507,0.91218,0.91561,0.00333,1,0.26117,0.21228,0.00333,1,0.5924,0.50921,0.91795,2.42642,3.05542,1.36636,0.000633282,0.000633282,0.000633282
21,30.3919,0.69533,0.74244,0.95134,0.9883,0.00333,1,0.59624,0.51197,0.00333,1,0.71959,0.63336,0.68811,1.33414,2.94446,1.19074,0.00065764,0.00065764,0.00065764
22,31.938,0.68639,0.64292,0.98612,0.90371,0.00333,1,0.66456,0.53419,0.00333,1,0.72213,0.63769,0.78742,0.96631,2.90482,1.22698,0.000681206,0.000681206,0.000681206
23,33.3422,0.71819,0.68127,0.9525,0.96001,0.00333,1,0.71008,0.55998,0.00333,1,0.72524,0.7143,0.97271,1.0081,2.89018,1.43291,0.00070398,0.00070398,0.00070398
24,34.7424,0.74169,0.74044,0.95668,0.91034,0.00333,1,0.61168,0.51632,0.00333,1,0.73849,0.68637,1.0805,1.16884,2.8629,1.52348,0.000725962,0.000725962,0.000725962
25,36.1459,0.70768,0.85131,0.92055,0.97581,0.00333,1,0.53958,0.46975,0.00333,1,0.75817,0.71121,1.25586,1.4549,2.90535,1.67437,0.000747152,0.000747152,0.000747152
26,37.531,0.63832,0.56085,0.86937,0.92563,0.00333,1,0.73455,0.55033,0.00333,1,0.76022,0.68171,0.83031,1.71406,2.78114,1.37568,0.00076755,0.00076755,0.00076755
27,38.9258,0.62584,0.5583,0.84959,0.91558,0.00333,1,0.90157,0.57741,0.00333,1,0.94885,0.6861,0.89975,2.14611,2.68353,1.28132,0.000787156,0.000787156,0.000787156
28,40.2978,0.63803,0.67352,0.91482,0.91002,0.00333,1,0.90157,0.57741,0.00333,1,0.94885,0.6861,0.89975,2.14611,2.68353,1.28132,0.00080597,0.00080597,0.00080597
29,41.6842,0.70833,0.65936,0.88101,0.97702,0.00333,1,0.88,0.6599,0.00333,1,0.88,0.64232,0.76452,1.81443,2.52637,1.08271,0.000823992,0.000823992,0.000823992
30,43.0945,0.71865,0.60847,0.87047,0.95368,0.00333,1,0.93102,0.73626,0.00333,1,0.93102,0.61842,0.68514,1.97063,2.42811,1.01155,0.000841222,0.000841222,0.000841222
31,44.4926,0.64223,0.75492,0.89769,0.92734,0.00333,1,0.93102,0.73626,0.00333,1,0.93102,0.61842,0.68514,1.97063,2.42811,1.01155,0.00085766,0.00085766,0.00085766
32,45.9882,0.61427,0.56673,0.83918,0.9163,1,0.40486,0.995,0.78315,1,0.40486,0.995,0.72083,0.66067,1.79553,2.09091,0.99034,0.000873306,0.000873306,0.000873306
33,47.4713,0.67861,0.66673,0.82777,0.95589,1,0.98304,0.995,0.79513,1,0.98304,0.995,0.83251,0.69662,1.25659,1.6731,1.00178,0.00088816,0.00088816,0.00088816
34,49.0112,0.6038,0.61961,0.89431,0.91751,1,0.98304,0.995,0.79513,1,0.98304,0.995,0.83251,0.69662,1.25659,1.6731,1.00178,0.000902222,0.000902222,0.000902222
35,50.4234,0.592,0.58651,0.7829,0.90274,0.98878,1,0.995,0.76768,0.98878,1,0.995,0.82913,0.76867,1.22883,1.54347,1.0405,0.000915492,0.000915492,0.000915492
36,51.8386,0.6154,0.62722,0.82483,0.88969,0.97957,1,0.995,0.81322,0.97957,1,0.995,0.84801,0.76428,1.05697,1.45885,1.07199,0.00092797,0.00092797,0.00092797
37,53.1977,0.57803,0.56915,0.80693,0.88758,0.97957,1,0.995,0.81322,0.97957,1,0.995,0.84801,0.76428,1.05697,1.45885,1.07199,0.000939656,0.000939656,0.000939656
38,54.6161,0.60612,0.57958,0.82693,0.91387,1,0.96253,0.995,0.77922,1,0.96253,0.995,0.86921,0.74484,0.89789,1.46912,1.04948,0.00095055,0.00095055,0.00095055
39,56.012,0.64076,0.57227,0.80245,0.91391,0.96206,1,0.995,0.68599,0.96206,1,0.995,0.78894,0.87706,0.91129,1.41494,1.10484,0.000960652,0.000960652,0.000960652
40,57.4266,0.68114,0.53598,0.79866,0.94153,0.96206,1,0.995,0.68599,0.96206,1,0.995,0.78894,0.87706,0.91129,1.41494,1.10484,0.000969962,0.000969962,0.000969962
41,58.8164,0.6117,0.48918,0.76129,0.93177,0.94657,1,0.995,0.78136,0.94657,1,0.995,0.81733,0.65798,0.95495,1.55991,0.97549,0.00097848,0.00097848,0.00097848
42,60.2145,0.54808,0.48758,0.77053,0.87843,1,0.94055,0.995,0.84126,1,0.94055,0.995,0.89755,0.6208,0.9165,1.6849,0.92899,0.000986206,0.000986206,0.000986206
43,61.5832,0.664,0.70963,0.77387,0.92516,1,0.94055,0.995,0.84126,1,0.94055,0.995,0.89755,0.6208,0.9165,1.6849,0.92899,0.00099314,0.00099314,0.00099314
44,62.9732,0.5699,0.49126,0.80558,0.91298,0.9949,1,0.995,0.83794,0.9949,1,0.995,0.81924,0.65177,1.19805,1.69699,0.9624,0.000999282,0.000999282,0.000999282
45,64.321,0.6193,0.67731,0.97514,0.99266,0.9949,1,0.995,0.83794,0.9949,1,0.995,0.81924,0.65177,1.19805,1.69699,0.9624,0.00100463,0.00100463,0.00100463
46,65.9363,0.61089,0.44201,0.68614,0.87581,0.9705,1,0.995,0.81497,0.9705,1,0.995,0.70913,0.7429,2.6858,1.58916,1.1005,0.00100919,0.00100919,0.00100919
47,67.3238,0.57401,0.5824,0.76751,0.92823,0.9705,1,0.995,0.81497,0.9705,1,0.995,0.70913,0.7429,2.6858,1.58916,1.1005,0.00101296,0.00101296,0.00101296
48,68.7138,0.53231,0.43214,0.73019,0.89061,0.97726,1,0.995,0.81108,0.97726,1,0.995,0.64866,0.73114,3.26582,1.39524,1.12885,0.00101593,0.00101593,0.00101593
49,70.0547,0.56832,0.56299,0.77066,0.89566,0.97726,1,0.995,0.81108,0.97726,1,0.995,0.64866,0.73114,3.26582,1.39524,1.12885,0.00101811,0.00101811,0.00101811
50,71.428,0.53849,0.46978,0.73273,0.89366,0.97823,1,0.995,0.81,0.97823,1,0.995,0.67431,0.71564,2.9188,1.21711,1.12793,0.0010195,0.0010195,0.0010195
51,72.7595,0.49128,0.48387,0.73331,0.85835,0.97823,1,0.995,0.81,0.97823,1,0.995,0.67431,0.71564,2.9188,1.21711,1.12793,0.00101,0.00101,0.00101
52,74.1389,0.57495,0.52657,0.75007,0.93202,0.99237,1,0.995,0.80761,0.99237,1,0.995,0.61528,0.69263,3.4101,1.26094,1.09175,0.0009902,0.0009902,0.0009902
53,75.4961,0.48716,0.45281,0.68419,0.88853,0.99237,1,0.995,0.80761,0.99237,1,0.995,0.61528,0.69263,3.4101,1.26094,1.09175,0.0009704,0.0009704,0.0009704
54,76.8967,0.54021,0.49579,0.6998,0.90164,0.99536,1,0.995,0.80804,0.99536,1,0.995,0.66473,0.67999,2.72263,1.20678,1.09317,0.0009506,0.0009506,0.0009506
55,78.2519,0.5622,0.69282,0.79406,0.89585,0.99536,1,0.995,0.80804,0.99536,1,0.995,0.66473,0.67999,2.72263,1.20678,1.09317,0.0009308,0.0009308,0.0009308
56,79.6646,0.56745,0.56153,0.71844,0.93361,0.99499,1,0.995,0.82007,0.99499,1,0.995,0.79298,0.63479,1.93169,1.1187,1.11474,0.000911,0.000911,0.000911
57,81.1925,0.45977,0.43148,0.62783,0.8963,0.99499,1,0.995,0.82007,0.99499,1,0.995,0.79298,0.63479,1.93169,1.1187,1.11474,0.0008912,0.0008912,0.0008912
58,82.6075,0.50587,0.54927,0.68245,0.90436,0.9909,1,0.995,0.82807,0.9909,1,0.995,0.86416,0.65744,1.32837,1.06544,1.13982,0.0008714,0.0008714,0.0008714
59,83.9846,0.57085,0.63732,0.74164,0.93805,0.9909,1,0.995,0.82807,0.9909,1,0.995,0.86416,0.65744,1.32837,1.06544,1.13982,0.0008516,0.0008516,0.0008516
60,85.3756,0.6051,0.5148,0.68721,0.89245,0.99071,1,0.995,0.81563,0.99071,1,0.995,0.88092,0.64342,0.83777,0.99732,1.09092,0.0008318,0.0008318,0.0008318
61,86.7317,0.55796,0.6364,0.71509,0.91868,0.99071,1,0.995,0.81563,0.99071,1,0.995,0.88092,0.64342,0.83777,0.99732,1.09092,0.000812,0.000812,0.000812
62,88.1072,0.39965,0.43889,0.61332,0.85007,0.99152,1,0.995,0.81175,0.99152,1,0.995,0.89474,0.64705,0.65839,0.9214,1.11505,0.0007922,0.0007922,0.0007922
63,89.4591,0.58029,0.58412,0.69694,0.93227,0.99152,1,0.995,0.81175,0.99152,1,0.995,0.89474,0.64705,0.65839,0.9214,1.11505,0.0007724,0.0007724,0.0007724
64,90.9969,0.49693,0.4884,0.60388,0.86791,0.9923,1,0.995,0.8171,0.9923,1,0.995,0.89683,0.60772,0.68229,0.87499,1.07873,0.0007526,0.0007526,0.0007526
65,92.3472,0.48269,0.46485,0.61986,0.90314,0.9923,1,0.995,0.8171,0.9923,1,0.995,0.89683,0.60772,0.68229,0.87499,1.07873,0.0007328,0.0007328,0.0007328
66,93.7385,0.57646,0.64938,0.71497,0.95629,0.9929,1,0.995,0.84723,0.9929,1,0.995,0.92697,0.57281,0.69298,0.78277,1.07336,0.000713,0.000713,0.000713
67,95.1035,0.48588,0.51741,0.57721,0.85095,0.9929,1,0.995,0.84723,0.9929,1,0.995,0.92697,0.57281,0.69298,0.78277,1.07336,0.0006932,0.0006932,0.0006932
68,96.4928,0.43599,0.38833,0.56648,0.89081,0.99364,1,0.995,0.86775,0.99364,1,0.995,0.93509,0.63315,0.65594,0.73627,1.11485,0.0006734,0.0006734,0.0006734
69,97.8729,0.48973,0.47721,0.62292,0.91478,0.99364,1,0.995,0.86775,0.99364,1,0.995,0.93509,0.63315,0.65594,0.73627,1.11485,0.0006536,0.0006536,0.0006536
70,99.2855,0.49035,0.56031,0.60792,0.87018,0.9937,1,0.995,0.84967,0.9937,1,0.995,0.92311,0.5693,0.78502,0.72603,1.11597,0.0006338,0.0006338,0.0006338
71,100.672,0.52593,0.47252,0.6473,0.90875,0.9937,1,0.995,0.84967,0.9937,1,0.995,0.92311,0.5693,0.78502,0.72603,1.11597,0.000614,0.000614,0.000614
72,102.095,0.42617,0.3778,0.57806,0.85296,0.99383,1,0.995,0.86299,0.99383,1,0.995,0.92697,0.51069,0.64605,0.69162,1.10006,0.0005942,0.0005942,0.0005942
73,103.633,0.47098,0.46057,0.62994,0.92921,0.99383,1,0.995,0.86299,0.99383,1,0.995,0.92697,0.51069,0.64605,0.69162,1.10006,0.0005744,0.0005744,0.0005744
74,105.026,0.43116,0.45889,0.55461,0.84728,0.99374,1,0.995,0.86612,0.99374,1,0.995,0.91947,0.47845,0.54602,0.6949,1.09033,0.0005546,0.0005546,0.0005546
75,106.404,0.45485,0.54531,0.63933,0.86701,0.99374,1,0.995,0.86612,0.99374,1,0.995,0.91947,0.47845,0.54602,0.6949,1.09033,0.0005348,0.0005348,0.0005348
76,107.838,0.40331,0.39874,0.5788,0.8837,0.99387,1,0.995,0.87417,0.99387,1,0.995,0.91947,0.51226,0.63895,0.7136,1.08474,0.000515,0.000515,0.000515
77,109.217,0.55659,0.51868,0.66164,0.89213,0.99387,1,0.995,0.87417,0.99387,1,0.995,0.91947,0.51226,0.63895,0.7136,1.08474,0.0004952,0.0004952,0.0004952
78,110.644,0.46435,0.42514,0.58199,0.8679,0.99382,1,0.995,0.83663,0.99382,1,0.995,0.87387,0.50345,0.80865,0.7208,1.0815,0.0004754,0.0004754,0.0004754
79,112.016,0.4791,0.44568,0.59338,0.87938,0.99382,1,0.995,0.83663,0.99382,1,0.995,0.87387,0.50345,0.80865,0.7208,1.0815,0.0004556,0.0004556,0.0004556
80,113.405,0.54052,0.68452,0.73936,0.94074,0.99376,1,0.995,0.80282,0.99376,1,0.995,0.82988,0.51315,0.94208,0.69082,1.08056,0.0004358,0.0004358,0.0004358
81,114.761,0.44533,0.50627,0.58001,0.88266,0.99376,1,0.995,0.80282,0.99376,1,0.995,0.82988,0.51315,0.94208,0.69082,1.08056,0.000416,0.000416,0.000416
82,116.165,0.46012,0.55424,0.5928,0.88823,0.99373,1,0.995,0.8057,0.99373,1,0.995,0.82207,0.51815,0.90026,0.64809,1.07838,0.0003962,0.0003962,0.0003962
83,117.54,0.5127,0.55108,0.59305,0.87875,0.99373,1,0.995,0.8057,0.99373,1,0.995,0.82207,0.51815,0.90026,0.64809,1.07838,0.0003764,0.0003764,0.0003764
84,118.926,0.44842,0.53004,0.6169,0.9008,0.99388,1,0.995,0.81993,0.99388,1,0.995,0.86771,0.54075,0.78025,0.61043,1.09232,0.0003566,0.0003566,0.0003566
85,120.297,0.41911,0.37531,0.57007,0.8751,0.99388,1,0.995,0.81993,0.99388,1,0.995,0.86771,0.54075,0.78025,0.61043,1.09232,0.0003368,0.0003368,0.0003368
86,121.879,0.45891,0.5122,0.6436,0.84827,0.99399,1,0.995,0.82168,0.99399,1,0.995,0.86771,0.52533,0.66187,0.57949,1.0935,0.000317,0.000317,0.000317
87,123.267,0.51228,0.6072,0.60797,0.90205,0.99399,1,0.995,0.82168,0.99399,1,0.995,0.86771,0.52533,0.66187,0.57949,1.0935,0.0002972,0.0002972,0.0002972
88,124.658,0.44088,0.43225,0.55549,0.84713,0.994,1,0.995,0.87886,0.994,1,0.995,0.8804,0.48703,0.59264,0.56071,1.06357,0.0002774,0.0002774,0.0002774
89,126.026,0.38205,0.4345,0.56097,0.86881,0.994,1,0.995,0.87886,0.994,1,0.995,0.8804,0.48703,0.59264,0.56071,1.06357,0.0002576,0.0002576,0.0002576
90,127.449,0.37118,0.43659,0.53554,0.84926,0.99397,1,0.995,0.88564,0.99397,1,0.995,0.88822,0.46704,0.58598,0.55826,1.04627,0.0002378,0.0002378,0.0002378
91,133.6,0.34389,0.35152,0.66022,0.76058,0.99397,1,0.995,0.88564,0.99397,1,0.995,0.88822,0.46704,0.58598,0.55826,1.04627,0.000218,0.000218,0.000218
92,135.048,0.31085,0.43545,0.70492,0.80376,0.9941,1,0.995,0.90332,0.9941,1,0.995,0.91557,0.43549,0.58822,0.54944,1.02458,0.0001982,0.0001982,0.0001982
93,136.4,0.3042,0.34565,0.64577,0.78208,0.9941,1,0.995,0.90332,0.9941,1,0.995,0.91557,0.43549,0.58822,0.54944,1.02458,0.0001784,0.0001784,0.0001784
94,137.804,0.36307,0.36521,0.70551,0.78775,0.99409,1,0.995,0.89231,0.99409,1,0.995,0.90113,0.42722,0.56828,0.5494,1.01794,0.0001586,0.0001586,0.0001586
95,139.329,0.29618,0.31837,0.62167,0.78362,0.99409,1,0.995,0.89231,0.99409,1,0.995,0.90113,0.42722,0.56828,0.5494,1.01794,0.0001388,0.0001388,0.0001388
96,140.722,0.30879,0.34753,0.62692,0.77488,0.99407,1,0.995,0.89231,0.99407,1,0.995,0.90113,0.43449,0.56631,0.55496,1.01654,0.000119,0.000119,0.000119
97,142.098,0.29806,0.33026,0.64614,0.78365,0.99407,1,0.995,0.89231,0.99407,1,0.995,0.90113,0.43449,0.56631,0.55496,1.01654,9.92e-05,9.92e-05,9.92e-05
98,143.489,0.26199,0.32255,0.58551,0.77214,0.99393,1,0.995,0.91022,0.99393,1,0.995,0.90817,0.43805,0.57216,0.56564,1.01827,7.94e-05,7.94e-05,7.94e-05
99,144.84,0.27583,0.34299,0.58491,0.81351,0.99393,1,0.995,0.91022,0.99393,1,0.995,0.90817,0.43805,0.57216,0.56564,1.01827,5.96e-05,5.96e-05,5.96e-05
100,146.245,0.30123,0.35475,0.61582,0.7421,0.99395,1,0.995,0.91022,0.99395,1,0.995,0.90817,0.43483,0.58929,0.57033,1.02389,3.98e-05,3.98e-05,3.98e-05
